# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 12, mean observations per image: 0
0 1 0 0 0 0 0 0 0 gopro4_synced

1 0.63813254959145171 0.14914712743075306 0.4324880027467829 0.61927062824839918 -2.4173328622009445 -1.4704570154719121 -0.69601076643458792 1 gopro11_synced

2 -0.44478844821823837 -0.20228638236778504 0.64391383517958856 0.58874309227750554 2.7815346462779948 -2.1077719413448635 1.044492208690817 2 gopro9_synced

3 0.46557274865515663 0.29305769921564406 0.59271799323560614 0.58825554067502961 -2.9148432884537425 -1.7168390527338335 0.80771610298738605 3 gopro10_synced

4 0.62281389290488509 0.12102818352360475 -0.50803390783547597 -0.58254320190613684 2.8089167234454906 -1.5965020093819555 -0.23385060474252098 4 gopro8_synced

5 0.93012857279252814 0.31222150734013759 -0.14902273158784146 -0.12316977672824302 1.3510288858968642 1.578087944622607 -1.0063535649678705 5 gopro7_synced

6 0.88786094174230701 0.45737016278048065 0.02458848571967422 0.043713712912926091 -0.60933627014402536 2.6298307287058811 -0.11556975205508631 6 gopro12_synced

7 0.93392802902809957 0.0029467000511842817 0.30956018225974852 0.17872394107619929 -1.9510004131474805 -0.037020736480622589 -0.62443427794684625 7 gopro6_synced

8 -0.29312158561557783 -0.021315410447154758 0.78611259152028734 0.54373925991870109 1.2816938536692082 -2.9432582164580934 3.6974299169251501 8 gopro5_synced

9 -0.0031509324438380778 -0.0087044082016330022 0.90594676279470576 0.42329040608592439 -0.12560062236803959 -2.3404243307514134 5.8971507954237783 9 gopro1_synced

10 0.85714013954354018 -0.17852681116008748 0.46206192147731889 0.14120106090599649 -3.0971382413754034 -0.96962957949375905 1.7628267157494923 10 gopro3_synced

11 0.35818135061441847 0.0088036156880310721 0.82697648783102984 0.43328801621727658 -1.8888011617408225 -2.9196948559040048 6.0107865974850911 11 gopro2_synced

